State,Population,% of nation,Density (0000s),Inc. (10000s),% College grad,Poverty rate,Gini,(Benefits/Tax Ratio)/10,Gun owner %,%white,%white evangelical,% nonreligious,% urban,% obese,Life Exp. (00s),% Union,RTW,Region,Democratic Vote,% Business Owner (Gallup 2013,% Smoker (Gallup ,HS or less _Gallup 2012),Some college(Gallup 2012),College Graduate(Gallup 2012),Post Graduate(Gallup 2012),Not enough money for healthcare(Gallup 2012),Not enough money for food
Nebraska,1907116,0.0059,0.0024,0.503,0.293,0.095,0.432,0.091,0.386,0.821,0.4,0.17,0.731,0.286,0.798,0.083,Yes,Midwest,0.372,0.13,0.17,0.38,0.32,0.18,0.11,0.17,0.14
Nevada,2940058,0.0091,0.0025,0.4893,0.23,0.106,0.448,0.131,0.338,0.541,0.162,0.24,0.942,0.262,0.781,0.167,Yes,West,0.516,0.1,0.18,0.42,0.33,0.14,0.11,0.22,0.22
New Hampshire,1334795,0.0041,0.0147,0.6265,0.349,0.056,0.425,0.102,0.3,0.923,0.252,0.29,0.603,0.273,0.803,0.106,No,Northeast,0.506,0.13,0.17,0.34,0.28,0.2,0.17,0.15,0.14
New Jersey,8944469,0.0277,0.1205,0.6746,0.368,0.068,0.464,0.077,0.123,0.593,0.2,0.15,0.947,0.246,0.803,0.183,No,Northeast,0.566,0.11,0.13,0.42,0.22,0.19,0.16,0.17,0.17
New Mexico,2081015,0.0065,0.0017,0.4196,0.263,0.179,0.464,0.205,0.348,0.405,0.223,0.16,0.774,0.271,0.784,0.072,No,West,0.543,0.14,0.16,0.4,0.28,0.16,0.16,0.18,0.19
New York,19745289,0.0612,0.0417,0.5525,0.342,0.145,0.499,0.1,0.18,0.583,0.097,0.14,0.879,0.236,0.805,0.249,No,Northeast,0.614,0.09,0.14,0.43,0.24,0.17,0.15,0.16,0.18
North Carolina,10146788,0.0315,0.0201,0.4392,0.284,0.131,0.464,0.129,0.413,0.653,0.18,0.1,0.661,0.296,0.778,0.035,Yes,South,0.475,0.11,0.19,0.44,0.29,0.16,0.11,0.21,0.21
North Dakota,757952,0.0024,0.001,0.517,0.277,0.112,0.433,0.107,0.507,0.889,0.08,0.07,0.599,0.297,0.795,0.061,Yes,Midwest,0.351,0.17,0.19,0.34,0.35,0.21,0.09,0.13,0.11
Ohio,11614373,0.036,0.0283,0.4575,0.261,0.123,0.452,0.09,0.324,0.811,0.25,0.17,0.779,0.301,0.778,0.142,No,Midwest,0.474,0.1,0.2,0.49,0.28,0.13,0.09,0.19,0.2
Oklahoma,3923561,0.0122,0.0055,0.4323,0.241,0.156,0.454,0.13,0.429,0.687,0.463,0.11,0.662,0.322,0.759,0.066,Yes,South,0.308,0.12,0.21,0.43,0.32,0.15,0.09,0.21,0.21
Oregon,4093465,0.0127,0.004,0.4682,0.308,0.12,0.449,0.14,0.398,0.785,0.278,0.24,0.81,0.273,0.795,0.166,No,West,0.556,0.15,0.16,0.35,0.34,0.18,0.13,0.2,0.18
Pennsylvania,12802503,0.0397,0.0286,0.5023,0.286,0.112,0.461,0.117,0.347,0.795,0.215,0.15,0.787,0.291,0.785,0.154,No,Northeast,0.503,0.1,0.18,0.49,0.23,0.15,0.12,0.16,0.16
Rhode Island,1056426,0.0033,0.1016,0.5364,0.319,0.121,0.467,0.115,0.128,0.764,0.067,0.19,0.907,0.257,0.799,0.165,No,Northeast,0.597,0.12,0.15,0.42,0.25,0.16,0.16,0.18,0.19
South Carolina,4961119,0.0154,0.0157,0.4237,0.258,0.15,0.461,0.213,0.423,0.641,0.364,0.1,0.663,0.316,0.77,0.039,Yes,South,0.423,0.1,0.19,0.46,0.29,0.14,0.1,0.23,0.21
South Dakota,865454,0.0027,0.0011,0.4832,0.27,0.118,0.442,0.121,0.566,0.847,0.25,0.12,0.567,0.281,0.795,0.05,Yes,Midwest,0.370,0.2,0.18,0.41,0.33,0.15,0.11,0.14,0.15
Tennessee,6651194,0.0206,0.0157,0.4169,0.249,0.15,0.468,0.121,0.439,0.756,0.47,0.09,0.664,0.311,0.763,0.055,Yes,South,0.372,0.11,0.21,0.49,0.26,0.14,0.1,0.22,0.22
Texas,27862596,0.0864,0.0098,0.4939,0.276,0.162,0.469,0.091,0.359,0.453,0.25,0.12,0.847,0.292,0.785,0.045,Yes,South,0.426,0.11,0.14,0.46,0.27,0.15,0.11,0.22,0.22
Utah,3051217,0.0095,0.0034,0.5587,0.311,0.092,0.419,0.099,0.439,0.804,0.082,0.14,0.906,0.243,0.802,0.058,Yes,West,0.328,0.15,0.1,0.33,0.39,0.16,0.11,0.18,0.17
Vermont,624594,0.0019,0.0068,0.5278,0.36,0.076,0.444,0.17,0.42,0.943,0.16,0.34,0.389,0.237,0.805,0.104,No,Northeast,0.656,0.15,0.12,0.39,0.26,0.19,0.16,0.13,0.13
Virginia,8411808,0.0261,0.0207,0.6188,0.363,0.092,0.459,0.092,0.351,0.648,0.327,0.15,0.755,0.274,0.79,0.041,Yes,South,0.514,0.11,0.15,0.39,0.26,0.18,0.16,0.16,0.16
Washington,7288000,0.0226,0.0103,0.5684,0.329,0.102,0.441,0.109,0.331,0.725,0.442,0.25,0.841,0.268,0.799,0.198,No,West,0.569,0.14,0.13,0.36,0.32,0.17,0.14,0.17,0.16
West Virginia,1831102,0.0057,0.0077,0.3848,0.192,0.154,0.451,0.283,0.554,0.932,0.243,0.15,0.487,0.338,0.754,0.138,Yes,South,0.324,0.08,0.27,0.54,0.24,0.12,0.09,0.22,0.24
Wisconsin,5778708,0.0179,0.0105,0.504,0.278,0.102,0.43,0.117,0.444,0.833,0.225,0.15,0.702,0.297,0.8,0.15,Yes,Midwest,0.508,0.12,0.17,0.41,0.31,0.16,0.12,0.15,0.14
Wyoming,585501,0.0018,0.0006,0.5632,0.257,0.106,0.423,0.111,0.597,0.859,0.26,0.28,0.648,0.246,0.783,0.077,Yes,West,0.261,0.15,0.17,0.42,0.36,0.13,0.08,0.17,0.17
